Code géographique 1991;Nom de la municipalité;Population estimée;Latitude;Longitude
20015;Saint-Jean-de-l'Île-d'Orléans;1 175;"46° 55' 16"" N";"70° 53' 26"" O"
20020;Saint-Laurent-de-l'Île-d'Orléans;1 717;"46° 51' 52"" N";"70° 59' 54"" O"
20025;Saint-Pierre-de-l'Île-d'Orléans;2 080;"46° 53' 18"" N";"71° 04' 12"" O"
20030;Sainte-Pétronille;1 073;"46° 51' 09"" N";"71° 08' 10"" O"
21005;Saint-Tite-des-Caps;1 456;"47° 08' 29"" N";"70° 46' 12"" O"
21010;Saint-Ferréol-les-Neiges;3 373;"47° 07' 04"" N";"70° 51' 36"" O"
21015;Saint-Louis-de-Gonzague-du-Cap-Tourmente;2;"47° 03' 44"" N";"70° 48' 18"" O"
21020;Saint-Joachim;1 432;"47° 03' 13"" N";"70° 50' 36"" O"
21025;Beaupré;3 820;"47° 02' 30"" N";"70° 53' 57"" O"
21030;Sainte-Anne-de-Beaupré;2 854;"47° 00' 57"" N";"70° 56' 51"" O"
21035;Château-Richer;4 202;"46° 58' 10"" N";"71° 01' 03"" O"
21040;L'Ange-Gardien;3 814;"46° 54' 57"" N";"71° 05' 42"" O"
21045;Boischatel;7 944;"46° 53' 49"" N";"71° 08' 24"" O"
21902;Sault-au-Cochon;0;"47° 10' 00"" N";"70° 41' 49"" O"
21904;Lac-Jacques-Cartier;0;"47° 32' 35"" N";"71° 22' 58"" O"
22005;Sainte-Catherine-de-la-Jacques-Cartier;7 947;"46° 50' 43"" N";"71° 37' 11"" O"
22010;Fossambault-sur-le-Lac;2 075;"46° 52' 07"" N";"71° 37' 13"" O"
22015;Lac-Saint-Joseph;260;"46° 54' 26"" N";"71° 37' 35"" O"
22020;Shannon;6 260;"46° 53' 22"" N";"71° 31' 07"" O"
22025;Saint-Gabriel-de-Valcartier;3 479;"46° 55' 58"" N";"71° 27' 54"" O"
22030;Lac-Delage;668;"46° 58' 16"" N";"71° 24' 13"" O"
22035;Stoneham-et-Tewkesbury;8 891;"46° 59' 57"" N";"71° 22' 05"" O"
22040;Lac-Beauport;7 875;"46° 56' 47"" N";"71° 17' 14"" O"
22045;Sainte-Brigitte-de-Laval;7 882;"47° 00' 07"" N";"71° 11' 37"" O"
22902;Lac-Croche;0;"47° 28' 46"" N";"71° 49' 52"" O"
23015;Notre-Dame-des-Anges;330;"46° 48' 52"" N";"71° 13' 57"" O"
23027;Québec;542 706;"46° 48' 50"" N";"71° 12' 29"" O"
23057;L'Ancienne-Lorette;16 559;"46° 47' 55"" N";"71° 21' 44"" O"
23072;Saint-Augustin-de-Desmaures;19 186;"46° 44' 48"" N";"71° 27' 33"" O"
23802;Wendake;2 239;"46° 52' 00"" N";"71° 21' 43"" O"
25213;Lévis;146 080;"46° 45' 29"" N";"71° 14' 27"" O"
26005;Frampton;1 312;"46° 27' 47"" N";"70° 48' 27"" O"
26010;Saints-Anges;1 151;"46° 25' 05"" N";"70° 52' 36"" O"
26015;Vallée-Jonction;1 869;"46° 22' 30"" N";"70° 55' 36"" O"
26022;Saint-Elzéar;2 482;"46° 24' 22"" N";"71° 03' 40"" O"
26030;Sainte-Marie;13 823;"46° 26' 18"" N";"71° 01' 17"" O"
26035;Sainte-Marguerite;1 121;"46° 30' 41"" N";"70° 56' 12"" O"
26040;Sainte-Hénédine;1 304;"46° 33' 27"" N";"70° 59' 07"" O"
26048;Scott;2 498;"46° 30' 21"" N";"71° 04' 23"" O"
26055;Saint-Bernard;2 434;"46° 29' 53"" N";"71° 08' 11"" O"
26063;Saint-Isidore;3 056;"46° 35' 07"" N";"71° 05' 08"" O"
26070;Saint-Lambert-de-Lauzon;6 729;"46° 35' 30"" N";"71° 12' 22"" O"
27008;Saint-Victor;2 439;"46° 08' 47"" N";"70° 54' 17"" O"
27015;Saint-Alfred;503;"46° 09' 24"" N";"70° 49' 41"" O"
27028;Beauceville;6 306;"46° 12' 53"" N";"70° 46' 33"" O"
27035;Saint-Odilon-de-Cranbourne;1 388;"46° 21' 24"" N";"70° 40' 38"" O"
27043;Saint-Joseph-de-Beauce;4 877;"46° 18' 27"" N";"70° 52' 47"" O"
27050;Saint-Joseph-des-Érables;411;"46° 17' 34"" N";"70° 53' 51"" O"
27055;Saint-Jules;531;"46° 13' 26"" N";"70° 56' 52"" O"
27060;Tring-Jonction;1 402;"46° 16' 21"" N";"70° 59' 44"" O"
27065;Saint-Frédéric;1 069;"46° 17' 54"" N";"70° 58' 13"" O"
27070;Saint-Séverin;282;"46° 19' 33"" N";"71° 03' 16"" O"
28005;Saint-Zacharie;1 643;"46° 07' 36"" N";"70° 21' 48"" O"
28015;Sainte-Aurélie;829;"46° 10' 34"" N";"70° 21' 43"" O"
28020;Saint-Prosper;3 514;"46° 12' 40"" N";"70° 28' 58"" O"
28025;Saint-Benjamin;1 013;"46° 16' 48"" N";"70° 36' 12"" O"
28030;Sainte-Rose-de-Watford;733;"46° 19' 20"" N";"70° 25' 41"" O"
28035;Saint-Louis-de-Gonzague;367;"46° 16' 01"" N";"70° 19' 37"" O"
28040;Saint-Cyprien;492;"46° 21' 11"" N";"70° 15' 45"" O"
28045;Sainte-Justine;1 815;"46° 24' 10"" N";"70° 21' 26"" O"
28053;Lac-Etchemin;3 870;"46° 23' 47"" N";"70° 30' 16"" O"
28060;Saint-Luc-de-Bellechasse;443;"46° 30' 25"" N";"70° 28' 60"" O"
28065;Sainte-Sabine;363;"46° 29' 35"" N";"70° 21' 07"" O"
28070;Saint-Camille-de-Lellis;742;"46° 30' 00"" N";"70° 12' 21"" O"
28075;Saint-Magloire;639;"46° 34' 32"" N";"70° 17' 19"" O"
29005;Saint-Théophile;724;"45° 56' 09"" N";"70° 28' 58"" O"
29013;Saint-Gédéon-de-Beauce;2 170;"45° 51' 09"" N";"70° 38' 27"" O"
29020;Saint-Hilaire-de-Dorset;98;"45° 51' 56"" N";"70° 51' 24"" O"
29025;Saint-Évariste-de-Forsyth;580;"45° 56' 07"" N";"70° 56' 56"" O"
29030;La Guadeloupe;1 760;"45° 58' 05"" N";"70° 56' 30"" O"
29038;Saint-Honoré-de-Shenley;1 534;"45° 57' 40"" N";"70° 49' 26"" O"
29045;Saint-Martin;2 526;"45° 57' 33"" N";"70° 39' 21"" O"
29050;Saint-René;781;"46° 00' 49"" N";"70° 37' 08"" O"
29057;Saint-Côme--Linière;3 259;"46° 03' 29"" N";"70° 31' 19"" O"
29065;Saint-Philibert;362;"46° 08' 08"" N";"70° 32' 41"" O"
29073;Saint-Georges;33 158;"46° 07' 22"" N";"70° 40' 17"" O"
29095;Lac-Poulin;145;"46° 05' 55"" N";"70° 48' 58"" O"
29100;Saint-Benoît-Labre;1 617;"46° 04' 16"" N";"70° 47' 19"" O"
